Title,Text,Option1,Option2,Option3,Points1,Points2,Points3,Art,,
Fluffy Catastrophe,Catastrophe has struck! Upon waking today you find yourself surrounded by the most adorable of fluffy creatures. Crew members all around are amazed but you see it for what it is. ,Ignore,Desert the ship,Annihilate them,-10,-15,-1,1,1,You quickly realize that the problem is much larger than you thought. The creatures keep multiplying and nearly filled the entire ship before you reached a port.
Accused First Mate,Your first mate was just accused of murder by the Intergalactic Congress. ,Ignore,Investigate,Hand over,-5,2,0,2,2,You find that your first mate had been framed!
Space War,You exit warp right into the middle of a disastrous battle between two neighboring civilizations. ,Ignore,Try to escape,Fire everything!,0,1,-10,1,3,You joined in the battle and was shot at from both sides taking severe punishment.
Government Contact,A large government body contacts you asking for help with a grave matter but promises to pay well for you time. ,Ignore,Do it,Say no,-1,5,0,3,2,You go on a grand adventure and save a lady. Also you get paid for it!
Intergalactic Bank,You've been contacted by the Intergalactic bank claiming that you owe them a substantial amount of money. What do you do?,Ignore,Pay cash demanded,Pay less,0,-5,-1,6,1,Ignoring those scammers is a great idea. Good job. Heh.
Mysterious Wormhole,A mysterious wormhole appears before your craft offering untold adventure on the other side. It could be the end of you.,Ignore,Go through,Alert locals,0,1,1,3,2,After going through you find that you are now in a new sector. Woop De Doo.
Food Poisoned,Your crew has been feeling ill ever since dinner. It seems as if there was something wrong with the food you all ate. Your ship is temporarily stationary but you notice an unknown ship approaching. What do you do?,Ignore,Try to Communicate,Fire everything!,-3,1,-5,2,3,Your crew wasn't exactly ready for full scale battle. You escaped though.
Mercenary Work,A notice was put up from a nearby spaceport requesting well-armed spacecraft to escort a convoy through pirate-filled space. What do you do?,Ignore,Take the job,Join Pirates,0,3,3,2,3,You joined a group of pirates pretty easily. Your group attacked the convoy and made off with a good steal.
Astroid,An astroid has just struck your ship! There looks like there could be a signifigant amount of damage. What do you do?,Ignore,Warp to a station,Try to repair,-10,1,3,1,3,Repairs went fine and your ship is now in full working order.
New Colony,Your travels have brought you by a nearby colony. The planet is lush and living but that means the colonists are having issues with flora and fauna. They request help! What do you do?,Ignore,Attempt to Help,Attack!,0,1,-2,3,2,You helped the colony. They didn't have much to pay you but you filled a hole in your heart.
Exploding Star,You revieve a message from a nearby planet notifying you that a star is about toexplode. Thousands could die.,Ignore,Try to save people,Forsake planet,-3,5,-10,3,2,You couldn't save everybody but you still saved over 3000 lives.
Rick and Who?,You run into a small beaten up ship with an old man in a lab coat and a young boy in yellow sitting inside. The old man wants to borrow some schmeckles.,Ignore,Loan him money,Wubba-lubba dub dub!,-10,1,5,4,3,They seem like nice fellows who have never messed up anything!
Mutiny!,You've been hearing some serious rumors of mutiny lately and they might be ready to strike! ,Ignore,Call a ship meeting,Accuse crew member,-10,1,5,1,3,Just by luck you managed to identify the person responsible for starting the mutiny! You cast him out brutally.
Alien Beggar,You and your crew come across an old crippled man who is begging for a few coins.,Ignore,Give coins,Offer him a job,-1,3,3,6,3,The man happily accepted your job offer! He now works on the plumbing in your ship.
Low Funds,You just looked into your wallet and realized you don't have enough money to pay your crew for the month. What do you do?,Ignore,Fire crew members,Hold ship meeting,-5,-5,0,6,3,After talking with your crew members some have agreed to accept a lower paycheck than usual.
Space Wizard,You've come across an old man in a tall pointy hat asking if you would kindly try his stew. It looks toxic but you don't want to offend him.,Ignore,Try stew,Walk away,-1,5,-1,5,2,After eating the stew your wallet fills with gold coins. Lucky!
